Agent Number	Agent Type	Birth	Parent1	Parent2	Death	Children	Sexual Pregnancies	Steps	Turns	Agent Bumps	Rock Bumps	PD Reward	PD Temptation	PD Sucker	PD Punishment	boundNorth	boundEast	boundSouth	boundWest	Energy Gained My Food	Energy Gained Other Food	Energy Gained Agents	Energy Lost Movement	Energy Lost Reproduction
0	1	0	-1	-1	16	1	1	8	8	1	0	0	0	0	0	47	20	50	19	0	0	0	178	1000
0	1	0	-1	-1	12	3	1	3	8	2	0	0	0	0	0	29	9	30	7	0	0	0	15	1000
0	1	0	-1	-1	28	1	1	14	12	3	0	0	0	0	0	46	26	49	21	0	5	0	312	1000
0	1	0	-1	-1	28	1	1	18	8	3	0	0	0	0	0	47	49	49	35	0	0	0	392	1000
0	1	0	-1	-1	15	1	1	11	4	1	0	0	0	0	0	18	50	21	44	0	0	0	237	1000
0	1	0	-1	-1	28	2	1	13	12	4	0	0	0	0	0	11	54	12	45	0	0	0	293	1000
0	1	0	-1	-1	33	2	1	16	15	3	0	0	0	0	0	53	26	58	22	0	0	0	357	1000
0	1	0	-1	-1	45	4	1	24	17	5	0	0	0	0	0	4	26	13	15	0	35	0	451	1000
0	1	0	-1	-1	81	1	1	26	47	9	0	0	0	0	0	3	28	10	18	600	0	0	611	1000
0	1	0	-1	-1	15	1	1	4	11	1	0	0	0	0	0	33	32	34	30	0	0	0	97	1000
0	1	0	-1	-1	15	2	1	9	6	1	0	0	0	0	0	27	8	30	4	0	0	0	17	1000
0	1	0	-1	-1	11	1	1	7	4	1	0	0	0	0	0	23	18	23	11	0	0	0	33	1000
0	1	0	-1	-1	107	2	0	52	43	13	0	0	0	0	0	9	36	23	14	0	20	0	1021	0
0	1	0	-1	-1	13	2	1	3	8	3	0	0	0	0	0	33	13	34	12	0	0	0	17	1000
0	1	0	-1	-1	722	4	0	188	346	189	0	0	0	0	0	0	59	28	0	1600	30	0	1332	0
0	1	0	-1	-1	67	1	1	32	33	3	0	0	0	0	0	49	30	53	22	0	10	0	711	1000
0	1	0	-1	-1	16	3	1	2	9	6	0	0	0	0	0	10	11	12	11	0	0	0	23	1000
0	1	0	-1	-1	22	1	1	11	10	2	0	0	0	0	0	30	11	32	2	0	0	0	25	1000
0	1	0	-1	-1	43	4	1	25	18	1	0	0	0	0	0	42	44	51	41	0	15	0	545	1000
0	1	0	-1	-1	51	3	1	27	22	3	0	0	0	0	0	2	41	15	37	200	5	0	595	1000
0	1	0	-1	-1	20	3	1	13	5	3	0	0	0	0	0	15	59	18	0	0	0	0	244	1000
0	1	0	-1	-1	25	1	1	19	6	1	0	0	0	0	0	32	51	40	45	0	0	0	407	1000
0	1	0	-1	-1	51	2	1	36	15	1	0	0	0	0	0	16	59	31	0	0	0	0	653	1000
0	1	0	-1	-1	34	2	1	10	19	6	0	0	0	0	0	0	46	3	16	0	20	0	101	1000
0	1	0	-1	-1	179	3	2	83	73	24	0	0	0	0	0	40	59	59	0	2200	55	0	1264	2000
0	1	0	-1	-1	112	0	0	57	50	6	0	0	0	0	0	25	59	45	0	0	25	0	1039	0
0	1	0	-1	-1	312	5	0	94	162	57	0	0	0	0	0	0	52	7	11	800	25	0	1730	0
0	1	0	-1	-1	105	2	0	62	39	5	0	0	0	0	0	11	55	41	37	200	150	0	1351	0
0	1	0	-1	-1	18	1	1	12	6	1	0	0	0	0	0	6	59	6	0	0	0	0	120	1000
0	1	0	-1	-1	999	0	0	442	418	140	0	0	0	0	0	2	59	47	0	15000	595	0	4800	0
0	1	0	-1	-1	17	1	1	9	8	1	0	0	0	0	0	8	7	14	4	0	0	0	19	1000
0	1	0	-1	-1	167	5	2	67	69	32	0	0	0	0	0	38	59	48	0	1600	55	0	660	2000
0	1	0	-1	-1	597	5	0	232	294	72	0	0	0	0	0	5	59	50	0	4200	180	0	4670	0
0	1	0	-1	-1	156	4	0	62	70	25	0	0	0	0	0	1	41	8	24	400	15	0	1422	0
0	1	0	-1	-1	28	3	1	16	11	2	0	0	0	0	0	36	55	37	41	0	0	0	351	1000
0	1	0	-1	-1	15	1	1	4	10	2	0	0	0	0	0	29	13	31	13	0	0	0	18	1000
0	1	0	-1	-1	19	3	1	10	7	3	0	0	0	0	0	36	30	41	27	200	15	0	223	1000
0	1	0	-1	-1	12	2	1	4	5	4	0	0	0	0	0	36	33	39	32	0	0	0	97	1000
0	1	0	-1	-1	21	2	1	14	7	1	0	0	0	0	0	30	22	38	21	0	0	0	303	1000
0	1	0	-1	-1	12	3	1	6	5	2	0	0	0	0	0	5	36	7	32	0	0	0	135	1000
0	1	0	-1	-1	22	1	1	9	11	3	0	0	0	0	0	22	59	25	0	0	0	0	206	1000
0	1	0	-1	-1	36	1	1	19	15	3	0	0	0	0	0	52	59	56	0	0	25	0	240	1000
0	1	0	-1	-1	12	2	1	5	6	2	0	0	0	0	0	19	58	22	58	0	0	0	115	1000
0	1	0	-1	-1	923	4	2	327	462	135	0	0	0	0	0	0	59	19	0	7200	35	0	2699	2000
0	1	0	-1	-1	47	4	2	22	19	7	0	0	0	0	0	15	12	25	5	800	0	0	55	2000
0	1	0	-1	-1	35	3	1	23	11	2	0	0	0	0	0	22	27	35	23	0	0	0	498	1000
0	1	0	-1	-1	280	4	2	105	124	52	0	0	0	0	0	11	17	29	0	1400	5	0	333	2000
0	1	0	-1	-1	28	2	1	8	18	3	0	0	0	0	0	11	27	14	26	0	0	0	192	1000
0	1	0	-1	-1	19	1	1	7	10	3	0	0	0	0	0	18	7	23	6	0	0	0	23	1000
0	1	0	-1	-1	15	2	1	5	9	2	0	0	0	0	0	30	41	32	39	0	0	0	118	1000
0	1	0	-1	-1	309	2	0	158	116	36	0	0	0	0	0	20	37	59	0	2400	185	0	3486	0
0	1	0	-1	-1	24	2	1	14	9	2	0	0	0	0	0	9	54	14	47	0	0	0	307	1000
0	1	0	-1	-1	25	3	1	10	11	5	0	0	0	0	0	14	58	15	53	0	0	0	231	1000
0	1	0	-1	-1	32	1	1	22	8	3	0	0	0	0	0	42	48	54	40	0	0	0	476	1000
0	1	0	-1	-1	16	3	1	6	10	1	0	0	0	0	0	28	33	29	30	0	0	0	138	1000
0	1	0	-1	-1	32	2	1	13	18	2	0	0	0	0	0	43	42	47	41	0	0	0	295	1000
0	1	0	-1	-1	27	3	1	9	11	8	0	0	0	0	0	1	51	5	47	200	5	0	216	1000
0	1	0	-1	-1	69	1	1	25	34	11	0	0	0	0	0	14	59	22	0	400	0	0	401	1000
0	1	0	-1	-1	15	1	1	8	7	1	0	0	0	0	0	38	43	40	40	0	0	0	177	1000
0	1	0	-1	-1	32	1	1	14	17	2	0	0	0	0	0	49	59	58	0	0	0	0	75	1000
0	1	0	-1	-1	25	1	1	7	13	6	0	0	0	0	0	39	39	41	36	0	0	0	172	1000
0	1	0	-1	-1	24	3	1	11	9	5	0	0	0	0	0	32	17	39	14	0	0	0	30	1000
0	1	0	-1	-1	46	4	1	21	23	3	0	0	0	0	0	30	37	37	29	0	0	0	470	1000
0	1	0	-1	-1	67	3	1	33	29	6	0	0	0	0	0	38	51	47	45	0	0	0	734	1000
0	1	0	-1	-1	22	1	1	6	15	2	0	0	0	0	0	7	45	9	42	0	0	0	145	1000
0	1	0	-1	-1	92	1	0	48	40	5	0	0	0	0	0	28	56	38	38	0	55	0	1058	0
0	1	0	-1	-1	15	3	1	7	7	2	0	0	0	0	0	4	35	6	33	0	0	0	158	1000
0	1	0	-1	-1	439	7	3	168	198	74	0	0	0	0	0	1	59	26	0	5000	65	0	2794	3000
0	1	0	-1	-1	268	1	0	121	115	33	0	0	0	0	0	12	50	32	26	1600	180	0	2722	0
0	1	0	-1	-1	50	2	1	27	17	7	0	0	0	0	0	51	34	59	2	0	0	0	58	1000
0	1	0	-1	-1	14	4	1	9	3	3	0	0	0	0	0	11	3	17	1	0	0	0	18	1000
0	1	0	-1	-1	14	2	1	6	7	2	0	0	0	0	0	44	55	49	55	0	10	0	137	1000
0	1	0	-1	-1	11	1	1	6	3	3	0	0	0	0	0	50	53	54	51	0	0	0	135	1000
0	1	0	-1	-1	54	1	1	34	17	4	0	0	0	0	0	7	43	24	33	0	0	0	739	1000
0	1	0	-1	-1	119	4	1	41	59	20	0	0	0	0	0	0	59	5	0	800	0	0	800	1000
0	1	0	-1	-1	467	5	1	181	222	65	0	0	0	0	0	18	59	40	0	2000	95	0	1753	1000
0	1	0	-1	-1	23	2	1	9	9	6	0	0	0	0	0	4	53	7	50	200	0	0	210	1000
0	1	0	-1	-1	27	4	1	14	11	3	0	0	0	0	0	31	28	34	20	0	0	0	311	1000
0	1	0	-1	-1	158	2	2	43	70	46	0	0	0	0	0	0	59	7	0	1400	5	0	425	2000
0	1	0	-1	-1	15	1	1	6	9	1	0	0	0	0	0	29	9	31	5	0	0	0	17	1000
0	1	0	-1	-1	12	3	1	7	4	2	0	0	0	0	0	51	48	57	47	0	0	0	155	1000
0	1	0	-1	-1	239	2	0	79	113	48	0	0	0	0	0	7	43	35	29	800	80	0	1868	0
0	1	0	-1	-1	131	6	2	53	55	24	0	0	0	0	0	11	22	42	13	1400	15	0	416	2000
0	1	0	-1	-1	52	6	2	21	26	6	0	0	0	0	0	12	11	15	1	800	0	0	59	2000
0	1	0	-1	-1	11	1	1	7	4	1	0	0	0	0	0	36	46	43	46	0	0	0	153	1000
0	1	0	-1	-1	257	3	0	73	126	59	0	0	0	0	0	0	57	13	22	800	30	0	1777	0
0	1	0	-1	-1	22	1	1	6	16	1	0	0	0	0	0	9	2	11	1	0	0	0	24	1000
0	1	0	-1	-1	35	3	1	18	15	3	0	0	0	0	0	16	53	27	49	0	0	0	399	1000
0	1	0	-1	-1	212	4	0	84	100	29	0	0	0	0	0	19	39	43	29	800	110	0	1922	0
0	1	0	-1	-1	442	3	0	130	217	96	0	0	0	0	0	2	59	18	0	600	55	0	1359	0
0	1	0	-1	-1	48	4	2	18	28	3	0	0	0	0	0	35	16	41	12	600	0	0	52	2000
0	1	0	-1	-1	25	2	1	10	13	3	0	0	0	0	0	32	22	38	21	200	15	0	229	1000
0	1	0	-1	-1	328	2	0	150	145	34	0	0	0	0	0	0	47	22	12	1600	165	0	2643	0
0	1	0	-1	-1	16	1	1	9	7	1	0	0	0	0	0	16	26	18	22	0	20	0	198	1000
0	1	0	-1	-1	15	1	1	7	8	1	0	0	0	0	0	48	59	49	0	0	0	0	17	1000
0	1	0	-1	-1	15	1	1	7	6	3	0	0	0	0	0	47	29	50	27	0	0	0	159	1000
0	1	0	-1	-1	25	3	1	14	11	1	0	0	0	0	0	53	55	58	48	0	0	0	307	1000
0	1	0	-1	-1	22	2	1	11	11	1	0	0	0	0	0	38	56	42	52	0	5	0	244	1000
0	1	0	-1	-1	29	3	1	15	13	2	0	0	0	0	0	54	59	55	0	0	0	0	312	1000
0	1	0	-1	-1	16	3	1	7	5	5	0	0	0	0	0	37	29	40	28	0	0	0	162	1000
0	1	0	-1	-1	379	10	2	125	191	64	0	0	0	0	0	14	15	46	4	1600	15	0	444	2000
0	1	0	-1	-1	18	1	1	5	10	4	0	0	0	0	0	27	23	31	22	0	0	0	123	1000
0	1	0	-1	-1	598	3	0	207	303	89	0	0	0	0	0	0	59	31	0	2000	70	0	2348	0
0	1	0	-1	-1	23	3	1	12	8	4	0	0	0	0	0	44	19	46	12	0	0	0	88	1000
0	1	0	-1	-1	22	1	1	14	8	1	0	0	0	0	0	22	59	26	0	0	0	0	144	1000
0	1	0	-1	-1	38	5	2	16	17	6	0	0	0	0	0	44	12	47	3	800	5	0	45	2000
0	1	0	-1	-1	15	2	1	8	7	1	0	0	0	0	0	17	57	20	53	0	0	0	177	1000
0	1	0	-1	-1	113	3	0	45	52	17	0	0	0	0	0	31	29	50	23	0	30	0	1031	0
0	1	0	-1	-1	99	3	0	45	35	20	0	0	0	0	0	2	36	18	25	0	15	0	1020	0
0	1	0	-1	-1	21	1	1	14	7	1	0	0	0	0	0	20	45	27	40	0	10	0	303	1000
0	1	0	-1	-1	50	3	1	16	31	4	0	0	0	0	0	40	44	42	39	0	0	0	375	1000
0	1	0	-1	-1	209	1	0	69	96	45	0	0	0	0	0	14	59	26	0	0	0	0	995	0
0	1	0	-1	-1	429	4	2	141	223	66	0	0	0	0	0	0	59	27	0	2600	45	0	1376	2000
0	1	0	-1	-1	860	4	0	315	408	138	0	0	0	0	0	0	51	59	1	5400	85	0	4039	0
0	1	0	-1	-1	499	4	0	132	250	118	0	0	0	0	0	0	59	8	0	2000	95	0	2678	0
0	1	0	-1	-1	146	1	1	75	58	14	0	0	0	0	0	0	53	19	20	1600	50	0	1661	1000
0	1	0	-1	-1	16	1	1	9	7	1	0	0	0	0	0	9	59	10	0	0	0	0	78	1000
0	1	0	-1	-1	25	1	1	18	7	1	0	0	0	0	0	32	18	43	15	0	0	0	247	1000
0	1	0	-1	-1	335	5	2	137	164	35	0	0	0	0	0	13	32	57	16	3800	245	0	2931	2000
0	1	0	-1	-1	43	1	1	19	24	1	0	0	0	0	0	26	59	33	0	0	40	0	265	1000
0	1	0	-1	-1	14	1	1	4	9	2	0	0	0	0	0	50	59	50	56	0	0	0	97	1000
0	1	0	-1	-1	31	4	1	18	11	3	0	0	0	0	0	19	59	27	0	0	0	0	375	1000
0	1	0	-1	-1	16	3	1	3	8	6	0	0	0	0	0	9	7	12	7	0	0	0	23	1000
0	1	0	-1	-1	19	2	1	12	6	2	0	0	0	0	0	24	26	30	26	0	0	0	262	1000
0	1	0	-1	-1	15	2	1	11	4	1	0	0	0	0	0	29	25	29	17	0	0	0	217	1000
0	1	0	-1	-1	20	3	1	7	9	5	0	0	0	0	0	43	23	46	20	0	0	0	166	1000
0	1	0	-1	-1	32	3	1	15	15	3	0	0	0	0	0	6	32	11	29	0	0	0	336	1000
0	1	0	-1	-1	18	1	1	7	10	2	0	0	0	0	0	31	46	34	43	0	0	0	161	1000
0	1	0	-1	-1	39	2	1	22	16	2	0	0	0	0	0	19	38	25	32	0	0	0	482	1000
