Agent Number	Agent Type	Birth	Parent1	Parent2	Death	Children	Sexual Pregnancies	Steps	Turns	Agent Bumps	Rock Bumps	PD Reward	PD Temptation	PD Sucker	PD Punishment	boundNorth	boundEast	boundSouth	boundWest	Energy Gained My Food	Energy Gained Other Food	Energy Gained Agents	Energy Lost Movement	Energy Lost Reproduction
0	1	0	-1	-1	38	5	1	12	23	4	0	0	0	0	0	48	21	51	18	200	0	0	283	1000
0	1	0	-1	-1	20	1	1	4	14	3	0	0	0	0	0	29	9	30	6	0	0	0	24	1000
0	1	0	-1	-1	19	2	1	3	16	1	0	0	0	0	0	48	23	49	21	0	0	0	81	1000
0	1	0	-1	-1	46	3	1	18	22	7	0	0	0	0	0	43	42	49	34	400	0	0	414	1000
0	1	0	-1	-1	15	2	1	3	10	3	0	0	0	0	0	16	50	19	50	0	0	0	79	1000
0	1	0	-1	-1	23	2	1	9	10	5	0	0	0	0	0	11	53	12	45	0	5	0	209	1000
0	1	0	-1	-1	62	5	1	9	17	37	0	0	0	0	0	54	31	58	26	0	0	0	280	1000
0	1	0	-1	-1	39	2	1	12	27	1	0	0	0	0	0	8	26	13	23	0	15	0	281	1000
0	1	0	-1	-1	27	2	1	11	16	1	0	0	0	0	0	8	20	13	18	0	15	0	249	1000
0	1	0	-1	-1	26	3	1	7	19	1	0	0	0	0	0	32	36	34	31	0	0	0	168	1000
0	1	0	-1	-1	274	3	2	82	151	42	0	0	0	0	0	7	44	28	8	2600	110	0	1657	2000
0	1	0	-1	-1	256	5	2	67	145	45	0	0	0	0	0	12	22	24	9	2200	5	0	1182	2000
0	1	0	-1	-1	490	8	0	126	252	113	0	0	0	0	0	2	59	24	0	1000	75	0	1684	0
0	1	0	-1	-1	274	6	2	74	164	37	0	0	0	0	0	16	34	34	13	2400	75	0	1412	2000
0	1	0	-1	-1	329	3	0	53	234	43	0	0	0	0	0	17	59	27	0	0	10	0	893	0
0	1	0	-1	-1	66	1	1	25	41	1	0	0	0	0	0	45	34	53	29	0	0	0	568	1000
0	1	0	-1	-1	11	2	1	4	7	1	0	0	0	0	0	10	13	12	11	0	0	0	13	1000
0	1	0	-1	-1	16	2	1	5	11	1	0	0	0	0	0	28	11	30	8	0	0	0	18	1000
0	1	0	-1	-1	32	2	1	9	23	1	0	0	0	0	0	38	41	45	40	0	0	0	214	1000
0	1	0	-1	-1	25	1	1	5	17	4	0	0	0	0	0	15	42	15	39	0	10	0	130	1000
0	1	0	-1	-1	23	2	1	6	15	3	0	0	0	0	0	14	4	16	0	0	0	0	27	1000
0	1	0	-1	-1	21	2	1	4	17	1	0	0	0	0	0	39	47	39	45	0	0	0	103	1000
0	1	0	-1	-1	37	2	1	8	29	1	0	0	0	0	0	29	48	31	45	0	0	0	199	1000
