Agent Number	Agent Type	Birth	Parent1	Parent2	Death	Children	Sexual Pregnancies	Steps	Turns	Agent Bumps	Rock Bumps	PD Reward	PD Temptation	PD Sucker	PD Punishment	boundNorth	boundEast	boundSouth	boundWest	Energy Gained My Food	Energy Gained Other Food	Energy Gained Agents	Energy Lost Movement	Energy Lost Reproduction
0	1	0	-1	-1	312	2	1	30	83	200	0	0	0	0	0	49	23	58	16	1000	20	0	913	1000
0	1	0	-1	-1	14	2	1	3	10	2	0	0	0	0	0	29	12	29	9	0	0	0	17	1000
0	1	0	-1	-1	59	1	1	5	46	9	0	0	0	0	0	48	24	50	21	0	0	0	169	1000
0	1	0	-1	-1	311	1	1	8	12	292	0	0	0	0	0	49	37	52	35	0	0	0	764	1000
0	1	0	-1	-1	52	2	1	24	27	2	0	0	0	0	0	8	57	19	50	0	0	0	535	1000
0	1	0	-1	-1	240	2	1	6	234	1	0	0	0	0	0	12	46	14	44	0	0	0	362	1000
0	1	0	-1	-1	56	3	1	9	47	1	0	0	0	0	0	56	29	58	24	0	0	0	238	1000
0	1	0	-1	-1	14	1	1	7	6	2	0	0	0	0	0	12	24	15	23	0	5	0	157	1000
0	1	0	-1	-1	13	1	1	5	6	3	0	0	0	0	0	7	20	8	18	0	0	0	117	1000
0	1	0	-1	-1	15	2	1	3	9	4	0	0	0	0	0	33	33	34	31	0	10	0	80	1000
0	1	0	-1	-1	13	2	1	5	6	3	0	0	0	0	0	28	10	31	8	0	0	0	17	1000
0	1	0	-1	-1	62	3	1	4	8	51	0	0	0	0	0	21	13	23	11	0	0	0	114	1000
0	1	0	-1	-1	256	2	0	81	112	64	0	0	0	0	0	22	35	57	29	800	175	0	1941	0
0	1	0	-1	-1	29	2	1	1	5	24	0	0	0	0	0	34	14	34	13	0	0	0	54	1000
0	1	0	-1	-1	427	1	0	84	191	153	0	0	0	0	0	27	59	59	0	1200	155	0	2081	0
0	1	0	-1	-1	19	1	1	5	11	4	0	0	0	0	0	50	30	54	30	0	0	0	124	1000
0	1	0	-1	-1	17	3	1	4	11	3	0	0	0	0	0	10	13	11	11	0	0	0	21	1000
0	1	0	-1	-1	276	3	1	16	33	228	0	0	0	0	0	30	18	33	11	0	0	0	525	1000
0	1	0	-1	-1	15	1	1	5	8	3	0	0	0	0	0	45	43	47	41	0	0	0	119	1000
0	1	0	-1	-1	61	3	1	7	19	36	0	0	0	0	0	15	39	18	36	0	0	0	238	1000
0	1	0	-1	-1	20	1	1	7	10	4	0	0	0	0	0	13	2	16	0	0	0	0	25	1000
0	1	0	-1	-1	54	1	1	18	29	8	0	0	0	0	0	39	52	41	46	400	5	0	423	1000
0	1	0	-1	-1	13	1	1	10	3	1	0	0	0	0	0	23	50	31	48	0	0	0	215	1000
0	1	0	-1	-1	12	2	1	6	5	2	0	0	0	0	0	1	46	5	46	0	5	0	135	1000
0	1	0	-1	-1	270	5	1	15	52	204	0	0	0	0	0	55	40	59	10	600	0	0	535	1000
0	1	0	-1	-1	533	3	0	24	150	360	0	0	0	0	0	45	10	53	2	400	15	0	894	0
0	1	0	-1	-1	670	3	0	143	377	151	0	0	0	0	0	0	29	47	13	3000	190	0	3182	0
0	1	0	-1	-1	22	1	1	7	14	2	0	0	0	0	0	41	57	44	54	0	0	0	165	1000
0	1	0	-1	-1	111	2	1	26	69	17	0	0	0	0	0	6	59	15	0	200	15	0	589	1000
0	1	0	-1	-1	682	6	0	87	224	372	0	0	0	0	0	43	50	59	12	2200	55	0	2175	0
0	1	0	-1	-1	29	2	1	11	17	2	0	0	0	0	0	8	6	14	3	0	0	0	32	1000
0	1	0	-1	-1	290	8	2	48	154	89	0	0	0	0	0	45	48	59	13	1800	25	0	740	2000
0	1	0	-1	-1	289	3	0	49	135	106	0	0	0	0	0	49	59	59	21	400	55	0	1376	0
0	1	0	-1	-1	283	2	0	34	172	78	0	0	0	0	0	6	42	24	38	0	105	0	1042	0
0	1	0	-1	-1	94	2	1	7	22	66	0	0	0	0	0	37	42	43	41	0	0	0	301	1000
0	1	0	-1	-1	37	1	1	11	21	6	0	0	0	0	0	31	20	33	13	0	5	0	104	1000
0	1	0	-1	-1	33	3	1	11	15	8	0	0	0	0	0	34	32	36	27	0	0	0	262	1000
0	1	0	-1	-1	215	4	1	3	44	169	0	0	0	0	0	39	34	41	33	0	0	0	445	1000
0	1	0	-1	-1	33	2	1	9	20	5	0	0	0	0	0	36	25	37	21	0	0	0	219	1000
0	1	0	-1	-1	23	2	1	4	19	1	0	0	0	0	0	7	34	9	32	0	0	0	105	1000
0	1	0	-1	-1	835	6	2	93	366	377	0	0	0	0	0	22	20	55	0	4400	35	0	1433	2000
0	1	0	-1	-1	101	4	2	25	68	9	0	0	0	0	0	50	9	56	6	800	0	0	111	2000
0	1	0	-1	-1	43	1	1	13	27	4	0	0	0	0	0	21	59	27	57	200	0	0	308	1000
0	1	0	-1	-1	993	4	1	211	530	253	0	0	0	0	0	1	23	53	11	10200	135	0	2667	1000
0	1	0	-1	-1	21	1	1	4	12	6	0	0	0	0	0	25	13	28	12	0	0	0	28	1000
0	1	0	-1	-1	20	1	1	6	14	1	0	0	0	0	0	35	27	39	25	0	10	0	142	1000
0	1	0	-1	-1	228	2	1	14	28	187	0	0	0	0	0	28	14	31	7	200	0	0	416	1000
0	1	0	-1	-1	60	1	1	12	41	8	0	0	0	0	0	5	27	12	24	0	0	0	309	1000
0	1	0	-1	-1	102	3	1	2	1	100	0	0	0	0	0	23	8	24	7	0	0	0	203	1000
0	1	0	-1	-1	23	1	1	7	13	4	0	0	0	0	0	30	46	31	41	0	0	0	168	1000
0	1	0	-1	-1	314	0	0	19	93	203	0	0	0	0	0	42	38	48	31	0	5	0	898	0
0	1	0	-1	-1	37	2	1	9	24	5	0	0	0	0	0	13	48	14	45	0	5	0	223	1000
