Agent Number	Agent Type	Birth	Parent1	Parent2	Death	Children	Sexual Pregnancies	Steps	Turns	Agent Bumps	Rock Bumps	PD Reward	PD Temptation	PD Sucker	PD Punishment	boundNorth	boundEast	boundSouth	boundWest	Energy Gained My Food	Energy Gained Other Food	Energy Gained Agents	Energy Lost Movement	Energy Lost Reproduction
0	1	0	-1	-1	36	3	1	10	2	25	0	0	0	0	0	53	56	57	50	0	0	0	262	1000
0	1	0	-1	-1	359	1	1	10	113	237	0	0	0	0	0	15	4	19	3	0	0	0	597	1000
0	1	0	-1	-1	34	2	1	10	11	14	0	0	0	0	0	0	55	5	54	0	5	0	249	1000
0	1	0	-1	-1	253	1	1	3	3	248	0	0	0	0	0	49	21	51	20	0	0	0	562	1000
0	1	0	-1	-1	391	3	0	66	115	211	0	0	0	0	0	7	26	31	20	1000	115	0	1923	0
0	1	0	-1	-1	28	3	1	5	6	18	0	0	0	0	0	0	55	2	25	0	0	0	147	1000
0	1	0	-1	-1	231	5	1	7	4	221	0	0	0	0	0	29	51	34	50	0	25	0	593	1000
0	1	0	-1	-1	11	2	1	8	3	1	0	0	0	0	0	47	31	54	30	0	0	0	173	1000
0	1	0	-1	-1	18	1	1	10	2	7	0	0	0	0	0	31	55	37	52	0	0	0	226	1000
0	1	0	-1	-1	828	3	2	82	142	605	0	0	0	0	0	23	18	43	2	4600	15	0	1494	2000
0	1	0	-1	-1	296	1	0	23	27	247	0	0	0	0	0	42	26	48	15	0	30	0	944	0
0	1	0	-1	-1	32	3	1	5	20	8	0	0	0	0	0	55	11	56	9	0	0	0	41	1000
0	1	0	-1	-1	18	2	1	9	6	4	0	0	0	0	0	29	21	35	19	0	0	0	203	1000
0	1	0	-1	-1	285	6	1	2	73	211	0	0	0	0	0	27	34	28	33	0	0	0	537	1000
0	1	0	-1	-1	27	1	1	8	16	4	0	0	0	0	0	12	26	18	26	0	10	0	192	1000
0	1	0	-1	-1	529	3	1	64	78	388	0	0	0	0	0	19	23	52	16	2400	50	0	1958	1000
0	1	0	-1	-1	204	4	1	5	17	183	0	0	0	0	0	43	5	44	1	0	0	0	388	1000
0	1	0	-1	-1	378	1	1	4	18	357	0	0	0	0	0	14	15	18	15	0	0	0	736	1000
0	1	0	-1	-1	727	0	0	49	123	556	0	0	0	0	0	10	19	23	8	1400	10	0	1344	0
0	1	0	-1	-1	43	2	1	9	7	28	0	0	0	0	0	29	7	34	6	0	0	0	72	1000
0	1	0	-1	-1	517	3	1	46	85	387	0	0	0	0	0	7	21	18	13	1600	15	0	1145	1000
0	1	0	-1	-1	14	1	1	6	6	3	0	0	0	0	0	46	11	49	8	0	0	0	18	1000
0	1	0	-1	-1	374	1	0	7	41	327	0	0	0	0	0	48	26	51	23	0	10	0	842	0
0	1	0	-1	-1	372	0	0	18	15	340	0	0	0	0	0	18	52	25	46	200	35	0	1073	0
0	1	0	-1	-1	116	2	1	2	5	110	0	0	0	0	0	13	34	14	34	0	5	0	267	1000
0	1	0	-1	-1	903	6	2	128	230	546	0	0	0	0	0	29	11	57	1	5600	15	0	1450	2000
0	1	0	-1	-1	34	1	1	12	16	7	0	0	0	0	0	44	35	50	31	0	0	0	282	1000
0	1	0	-1	-1	169	2	1	6	9	155	0	0	0	0	0	53	22	56	20	0	0	0	445	1000
0	1	0	-1	-1	771	4	2	56	93	623	0	0	0	0	0	2	16	28	12	4000	15	0	1395	2000
0	1	0	-1	-1	268	2	1	17	12	240	0	0	0	0	0	37	44	50	42	0	5	0	849	1000
0	1	0	-1	-1	318	1	0	49	55	215	0	0	0	0	0	14	36	35	20	600	10	0	1514	0
0	1	0	-1	-1	16	2	1	7	8	2	0	0	0	0	0	19	38	21	35	0	5	0	159	1000
0	1	0	-1	-1	370	5	1	11	139	221	0	0	0	0	0	0	59	2	0	0	0	0	632	1000
0	1	0	-1	-1	357	0	0	15	12	331	0	0	0	0	0	10	59	13	0	0	0	0	849	0
0	1	0	-1	-1	16	1	1	5	5	7	0	0	0	0	0	30	24	31	21	0	0	0	124	1000
0	1	0	-1	-1	251	0	0	25	22	205	0	0	0	0	0	26	55	45	53	0	0	0	957	0
0	1	0	-1	-1	256	0	0	26	13	218	0	0	0	0	0	22	54	34	50	0	35	0	995	0
0	1	0	-1	-1	34	3	1	7	22	6	0	0	0	0	0	26	47	30	45	0	0	0	181	1000
0	1	0	-1	-1	34	3	1	14	19	2	0	0	0	0	0	41	26	48	22	0	0	0	317	1000
0	1	0	-1	-1	11	3	1	3	6	3	0	0	0	0	0	19	39	22	39	0	0	0	75	1000
0	1	0	-1	-1	21	2	1	2	5	15	0	0	0	0	0	25	31	26	30	0	0	0	77	1000
0	1	0	-1	-1	18	2	1	6	10	3	0	0	0	0	0	1	39	3	36	0	0	0	142	1000
0	1	0	-1	-1	43	2	1	7	33	4	0	0	0	0	0	0	22	2	20	0	15	0	188	1000
0	1	0	-1	-1	61	3	1	16	13	33	0	0	0	0	0	16	35	28	33	0	0	0	415	1000
0	1	0	-1	-1	15	4	1	5	9	2	0	0	0	0	0	51	19	52	16	0	0	0	38	1000
0	1	0	-1	-1	15	2	1	5	6	5	0	0	0	0	0	49	39	51	36	0	0	0	121	1000
0	1	0	-1	-1	62	1	1	12	12	39	0	0	0	0	0	38	53	44	52	0	0	0	342	1000
0	1	0	-1	-1	626	1	0	81	105	441	0	0	0	0	0	46	59	59	0	1800	70	0	2068	0
0	1	0	-1	-1	140	2	1	2	6	133	0	0	0	0	0	15	36	15	35	200	0	0	314	1000
