Agent Number	Agent Type	Birth	Parent1	Parent2	Death	Children	Sexual Pregnancies	Steps	Turns	Agent Bumps	Rock Bumps	PD Reward	PD Temptation	PD Sucker	PD Punishment	boundNorth	boundEast	boundSouth	boundWest	Energy Gained My Food	Energy Gained Other Food	Energy Gained Agents	Energy Lost Movement	Energy Lost Reproduction
0	1	0	-1	-1	37	3	1	8	16	14	0	0	0	0	0	8	49	11	44	200	10	0	212	1000
0	1	0	-1	-1	82	4	2	23	30	30	0	0	0	0	0	35	59	43	0	1200	0	0	373	2000
0	1	0	-1	-1	195	2	1	9	48	139	0	0	0	0	0	16	6	22	5	0	0	0	335	1000
0	1	0	-1	-1	14	1	1	5	4	6	0	0	0	0	0	28	31	29	29	0	0	0	121	1000
0	1	0	-1	-1	29	2	1	15	14	1	0	0	0	0	0	13	58	14	53	0	5	0	331	1000
0	1	0	-1	-1	240	4	1	10	15	216	0	0	0	0	0	37	36	43	35	0	5	0	657	1000
0	1	0	-1	-1	324	4	1	13	21	291	0	0	0	0	0	0	40	4	6	0	0	0	716	1000
0	1	0	-1	-1	18	2	1	8	7	4	0	0	0	0	0	12	31	20	31	0	0	0	183	1000
0	1	0	-1	-1	29	2	1	4	20	6	0	0	0	0	0	14	13	17	12	0	0	0	36	1000
0	1	0	-1	-1	846	3	0	88	182	577	0	0	0	0	0	19	59	31	0	3200	185	0	2064	0
0	1	0	-1	-1	13	2	1	6	7	1	0	0	0	0	0	8	10	11	10	0	0	0	15	1000
0	1	0	-1	-1	328	1	1	9	313	7	0	0	0	0	0	19	24	26	24	400	0	0	516	1000
0	1	0	-1	-1	765	2	0	31	69	666	0	0	0	0	0	39	17	57	10	2000	15	0	1432	0
0	1	0	-1	-1	14	1	1	6	8	1	0	0	0	0	0	27	9	27	3	0	0	0	16	1000
0	1	0	-1	-1	40	4	1	2	3	36	0	0	0	0	0	19	8	20	7	0	0	0	77	1000
0	1	0	-1	-1	475	9	2	55	106	315	0	0	0	0	0	0	43	20	13	2400	15	0	1071	2000
0	1	0	-1	-1	103	3	1	19	35	50	0	0	0	0	0	14	54	18	45	0	40	0	534	1000
0	1	0	-1	-1	146	3	0	41	49	57	0	0	0	0	0	4	32	12	18	0	15	0	1024	0
0	1	0	-1	-1	402	1	0	28	37	338	0	0	0	0	0	30	59	49	0	0	0	0	781	0
0	1	0	-1	-1	160	3	1	3	24	134	0	0	0	0	0	53	12	54	12	0	0	0	295	1000
0	1	0	-1	-1	228	2	1	1	79	149	0	0	0	0	0	34	9	35	9	0	0	0	378	1000
0	1	0	-1	-1	55	1	1	22	28	6	0	0	0	0	0	19	41	25	35	0	35	0	502	1000
0	1	0	-1	-1	337	1	0	25	51	262	0	0	0	0	0	31	23	45	19	200	30	0	1100	0
0	1	0	-1	-1	25	2	1	3	20	3	0	0	0	0	0	11	20	11	17	0	5	0	89	1000
0	1	0	-1	-1	15	1	1	4	11	1	0	0	0	0	0	20	37	22	35	0	5	0	97	1000
0	1	0	-1	-1	60	2	1	20	40	1	0	0	0	0	0	35	52	47	49	0	5	0	462	1000
0	1	0	-1	-1	359	2	1	2	5	353	0	0	0	0	0	56	57	57	56	0	0	0	753	1000
0	1	0	-1	-1	597	3	0	22	85	491	0	0	0	0	0	44	12	57	10	800	5	0	1089	0
0	1	0	-1	-1	177	1	1	15	8	155	0	0	0	0	0	40	22	50	18	0	5	0	633	1000
0	1	0	-1	-1	831	4	1	88	116	628	0	0	0	0	0	0	59	25	0	3400	915	0	2160	1000
0	1	0	-1	-1	19	4	1	2	7	11	0	0	0	0	0	34	3	35	2	0	0	0	31	1000
0	1	0	-1	-1	526	3	0	44	47	436	0	0	0	0	0	48	30	59	0	800	35	0	1343	0
0	1	0	-1	-1	11	1	1	2	0	10	0	0	0	0	0	46	8	48	8	0	0	0	22	1000
0	1	0	-1	-1	15	1	1	6	7	3	0	0	0	0	0	40	42	44	40	0	0	0	139	1000
0	1	0	-1	-1	17	1	1	12	3	3	0	0	0	0	0	57	51	59	21	0	0	0	261	1000
0	1	0	-1	-1	29	1	1	7	22	1	0	0	0	0	0	20	54	21	51	0	0	0	171	1000
0	1	0	-1	-1	332	1	1	6	2	325	0	0	0	0	0	2	19	6	18	0	0	0	778	1000
0	1	0	-1	-1	13	1	1	4	4	6	0	0	0	0	0	28	59	31	58	0	0	0	100	1000
0	1	0	-1	-1	238	5	1	16	36	187	0	0	0	0	0	12	54	21	50	400	25	0	746	1000
0	1	0	-1	-1	59	3	1	15	39	6	0	0	0	0	0	39	59	47	57	0	25	0	366	1000
0	1	0	-1	-1	20	2	1	3	11	7	0	0	0	0	0	43	38	45	37	0	0	0	88	1000
0	1	0	-1	-1	25	1	1	12	9	5	0	0	0	0	0	21	56	26	55	0	0	0	271	1000
0	1	0	-1	-1	15	3	1	9	6	1	0	0	0	0	0	3	20	10	19	0	10	0	197	1000
0	1	0	-1	-1	162	2	0	62	42	59	0	0	0	0	0	22	59	36	46	400	55	0	1462	0
0	1	0	-1	-1	938	1	0	85	172	682	0	0	0	0	0	1	59	30	0	4400	190	0	1661	0
0	1	0	-1	-1	891	5	0	144	278	470	0	0	0	0	0	0	45	57	4	2800	3125	0	4002	0
0	1	0	-1	-1	66	3	1	15	32	20	0	0	0	0	0	39	33	46	30	200	15	0	387	1000
0	1	0	-1	-1	23	4	1	6	2	16	0	0	0	0	0	29	58	33	58	0	0	0	160	1000
0	1	0	-1	-1	25	1	1	9	8	9	0	0	0	0	0	48	8	51	5	0	0	0	35	1000
0	1	0	-1	-1	246	0	0	36	184	27	0	0	0	0	0	19	25	36	22	0	20	0	994	0
0	1	0	-1	-1	29	1	1	1	25	4	0	0	0	0	0	33	42	33	41	0	5	0	54	1000
0	1	0	-1	-1	35	5	2	15	15	6	0	0	0	0	0	14	59	17	0	1000	5	0	162	2000
0	1	0	-1	-1	283	1	1	5	179	100	0	0	0	0	0	1	21	5	20	0	0	0	484	1000
0	1	0	-1	-1	14	1	1	1	12	2	0	0	0	0	0	28	57	29	57	0	0	0	37	1000
0	1	0	-1	-1	12	2	1	9	3	1	0	0	0	0	0	0	50	3	17	0	5	0	134	1000
0	1	0	-1	-1	25	2	1	13	10	3	0	0	0	0	0	28	41	38	40	0	0	0	289	1000
0	1	0	-1	-1	88	4	2	12	20	57	0	0	0	0	0	16	8	20	4	600	0	0	146	2000
0	1	0	-1	-1	54	2	1	20	14	21	0	0	0	0	0	5	32	10	22	0	5	0	476	1000
0	1	0	-1	-1	25	4	1	5	14	7	0	0	0	0	0	7	14	10	12	0	0	0	33	1000
0	1	0	-1	-1	344	1	0	43	151	151	0	0	0	0	0	56	38	59	2	200	80	0	1156	0
0	1	0	-1	-1	41	2	1	8	9	25	0	0	0	0	0	14	23	17	21	0	0	0	227	1000
0	1	0	-1	-1	358	1	1	2	2	355	0	0	0	0	0	1	30	3	30	0	0	0	754	1000
0	1	0	-1	-1	98	2	1	10	83	6	0	0	0	0	0	24	42	26	40	200	0	0	305	1000
0	1	0	-1	-1	31	2	1	12	15	5	0	0	0	0	0	49	6	53	1	0	0	0	37	1000
0	1	0	-1	-1	344	2	0	60	99	186	0	0	0	0	0	10	50	29	42	800	70	0	1731	0
0	1	0	-1	-1	36	2	2	7	11	19	0	0	0	0	0	5	16	7	14	800	0	0	56	2000
0	1	0	-1	-1	720	4	1	63	119	539	0	0	0	0	0	29	59	45	0	2000	750	0	1460	1000
0	1	0	-1	-1	14	1	1	7	5	3	0	0	0	0	0	45	26	50	24	0	0	0	158	1000
0	1	0	-1	-1	369	0	0	21	63	286	0	0	0	0	0	42	42	48	39	200	20	0	1076	0
0	1	0	-1	-1	25	1	1	10	11	5	0	0	0	0	0	14	57	18	52	0	0	0	231	1000
0	1	0	-1	-1	31	1	1	18	4	10	0	0	0	0	0	15	35	27	34	0	10	0	402	1000
0	1	0	-1	-1	21	3	1	7	5	10	0	0	0	0	0	31	58	34	57	0	0	0	172	1000
0	1	0	-1	-1	691	0	0	47	226	419	0	0	0	0	0	55	43	59	3	1800	30	0	1711	0
0	1	0	-1	-1	44	1	1	9	11	25	0	0	0	0	0	55	38	59	34	0	0	0	250	1000
0	1	0	-1	-1	361	1	1	2	12	348	0	0	0	0	0	26	52	26	50	0	0	0	750	1000
0	1	0	-1	-1	20	1	1	9	7	5	0	0	0	0	0	48	49	50	46	0	0	0	206	1000
0	1	0	-1	-1	347	0	0	10	13	325	0	0	0	0	0	0	58	4	26	0	15	0	873	0
0	1	0	-1	-1	11	1	1	5	2	5	0	0	0	0	0	27	16	30	16	0	0	0	17	1000
0	1	0	-1	-1	62	2	1	22	12	29	0	0	0	0	0	17	7	25	2	0	0	0	92	1000
0	1	0	-1	-1	616	0	0	84	140	393	0	0	0	0	0	35	59	55	0	1200	15	0	1430	0
0	1	0	-1	-1	22	1	1	7	12	4	0	0	0	0	0	54	34	56	30	0	0	0	167	1000
0	1	0	-1	-1	351	0	0	9	9	334	0	0	0	0	0	17	28	25	27	0	10	0	866	0
0	1	0	-1	-1	53	3	1	2	9	43	0	0	0	0	0	5	41	6	41	0	5	0	137	1000
0	1	0	-1	-1	13	3	1	8	4	2	0	0	0	0	0	47	58	51	54	0	0	0	176	1000
0	1	0	-1	-1	501	3	0	36	60	406	0	0	0	0	0	30	59	40	0	400	10	0	988	0
0	1	0	-1	-1	123	0	0	46	67	11	0	0	0	0	0	50	48	57	39	0	50	0	1055	0
0	1	0	-1	-1	82	2	1	8	4	71	0	0	0	0	0	24	42	26	36	0	0	0	314	1000
0	1	0	-1	-1	15	2	1	8	6	2	0	0	0	0	0	36	51	39	46	0	0	0	178	1000
0	1	0	-1	-1	366	4	0	7	29	331	0	0	0	0	0	18	24	21	20	0	0	0	838	0
0	1	0	-1	-1	370	4	1	32	71	268	0	0	0	0	0	36	13	46	5	800	5	0	639	1000
