Agent Number	Agent Type	Birth	Parent1	Parent2	Death	Children	Sexual Pregnancies	Steps	Turns	Agent Bumps	Rock Bumps	PD Reward	PD Temptation	PD Sucker	PD Punishment	boundNorth	boundEast	boundSouth	boundWest	Energy Gained My Food	Energy Gained Other Food	Energy Gained Agents	Energy Lost Movement	Energy Lost Reproduction
0	1	0	-1	-1	360	3	1	13	20	328	0	0	0	0	0	0	48	7	18	400	0	0	949	1000
0	1	0	-1	-1	729	3	0	70	121	539	0	0	0	0	0	20	15	39	6	1600	15	0	1269	0
0	1	0	-1	-1	26	2	1	13	10	4	0	0	0	0	0	0	51	1	15	200	0	0	211	1000
0	1	0	-1	-1	10	2	1	3	1	7	0	0	0	0	0	20	46	22	45	0	0	0	78	1000
0	1	0	-1	-1	13	2	1	6	7	1	0	0	0	0	0	39	12	43	10	0	0	0	15	1000
0	1	0	-1	-1	115	4	1	31	52	33	0	0	0	0	0	23	52	44	42	0	5	0	769	1000
0	1	0	-1	-1	805	3	1	72	159	575	0	0	0	0	0	32	52	59	12	3200	630	0	2141	1000
0	1	0	-1	-1	19	2	1	6	8	6	0	0	0	0	0	0	41	2	10	0	0	0	66	1000
0	1	0	-1	-1	289	2	1	1	5	284	0	0	0	0	0	42	57	42	56	0	5	0	594	1000
0	1	0	-1	-1	304	3	1	2	55	248	0	0	0	0	0	55	37	56	36	0	0	0	593	1000
0	1	0	-1	-1	903	5	1	94	174	636	0	0	0	0	0	13	59	49	0	4600	410	0	1840	1000
0	1	0	-1	-1	25	2	1	12	13	1	0	0	0	0	0	17	54	24	52	0	0	0	267	1000
0	1	0	-1	-1	379	3	0	4	14	362	0	0	0	0	0	0	53	1	52	0	0	0	822	0
0	1	0	-1	-1	352	4	1	3	5	345	0	0	0	0	0	24	48	25	46	0	0	0	758	1000
0	1	0	-1	-1	291	4	1	7	11	274	0	0	0	0	0	15	18	17	15	0	10	0	646	1000
0	1	0	-1	-1	341	0	0	11	8	323	0	0	0	0	0	12	46	15	42	0	20	0	885	0
0	1	0	-1	-1	57	4	1	4	35	19	0	0	0	0	0	33	27	34	25	0	0	0	157	1000
0	1	0	-1	-1	206	0	0	73	106	28	0	0	0	0	0	31	33	45	15	400	85	0	1495	0
0	1	0	-1	-1	36	3	1	7	15	15	0	0	0	0	0	3	53	6	50	0	5	0	192	1000
0	1	0	-1	-1	16	2	1	8	7	2	0	0	0	0	0	33	59	38	57	0	0	0	179	1000
0	1	0	-1	-1	60	1	1	11	48	2	0	0	0	0	0	37	20	43	15	0	5	0	243	1000
0	1	0	-1	-1	19	2	1	5	6	9	0	0	0	0	0	17	42	21	41	0	0	0	129	1000
0	1	0	-1	-1	24	2	1	4	7	14	0	0	0	0	0	40	10	42	8	0	0	0	39	1000
0	1	0	-1	-1	36	2	1	16	17	4	0	0	0	0	0	0	27	10	24	0	5	0	361	1000
0	1	0	-1	-1	287	2	1	11	4	273	0	0	0	0	0	6	20	14	18	0	5	0	781	1000
0	1	0	-1	-1	477	4	2	76	112	290	0	0	0	0	0	47	43	59	9	2800	40	0	1468	2000
0	1	0	-1	-1	360	1	1	10	16	335	0	0	0	0	0	53	34	59	2	0	0	0	696	1000
0	1	0	-1	-1	331	1	0	14	28	290	0	0	0	0	0	1	33	4	26	0	15	0	902	0
0	1	0	-1	-1	579	3	2	61	108	411	0	0	0	0	0	46	59	59	0	2400	405	0	1151	2000
0	1	0	-1	-1	19	3	1	5	8	7	0	0	0	0	0	25	46	29	45	0	0	0	127	1000
0	1	0	-1	-1	896	5	1	72	189	636	0	0	0	0	0	16	59	44	0	2800	2000	0	1933	1000
0	1	0	-1	-1	100	2	1	10	13	78	0	0	0	0	0	27	28	27	19	0	10	0	379	1000
0	1	0	-1	-1	191	8	0	40	73	79	0	0	0	0	0	49	59	59	24	0	60	0	1071	0
0	1	0	-1	-1	255	6	1	32	86	138	0	0	0	0	0	52	53	59	14	800	45	0	814	1000
0	1	0	-1	-1	55	1	1	1	17	38	0	0	0	0	0	53	54	54	54	0	0	0	114	1000
0	1	0	-1	-1	19	3	1	8	10	2	0	0	0	0	0	52	41	54	37	0	10	0	182	1000
0	1	0	-1	-1	21	3	1	7	12	3	0	0	0	0	0	33	6	37	5	0	0	0	25	1000
0	1	0	-1	-1	183	2	1	2	2	180	0	0	0	0	0	13	37	15	37	0	0	0	404	1000
0	1	0	-1	-1	14	1	1	9	4	2	0	0	0	0	0	41	32	47	31	0	0	0	197	1000
0	1	0	-1	-1	220	3	1	17	43	161	0	0	0	0	0	37	14	39	8	200	0	0	382	1000
0	1	0	-1	-1	27	1	1	15	8	5	0	0	0	0	0	2	36	9	34	0	0	0	333	1000
0	1	0	-1	-1	892	0	0	74	192	627	0	0	0	0	0	31	45	59	9	4400	105	0	2540	0
0	1	0	-1	-1	18	2	1	13	5	1	0	0	0	0	0	33	13	38	5	0	0	0	20	1000
0	1	0	-1	-1	357	3	1	5	9	344	0	0	0	0	0	2	51	3	47	0	0	0	802	1000
0	1	0	-1	-1	17	2	1	1	4	13	0	0	0	0	0	6	47	6	46	0	0	0	51	1000
0	1	0	-1	-1	65	4	1	16	38	12	0	0	0	0	0	2	17	6	12	0	0	0	78	1000
0	1	0	-1	-1	11	2	1	6	3	3	0	0	0	0	0	55	43	59	41	0	5	0	135	1000
0	1	0	-1	-1	962	4	2	90	207	666	0	0	0	0	0	22	21	47	11	4200	3800	0	2189	2000
0	1	0	-1	-1	874	5	1	84	223	568	0	0	0	0	0	4	59	29	0	4000	215	0	1543	1000
0	1	0	-1	-1	27	1	1	11	14	3	0	0	0	0	0	11	32	15	31	0	20	0	251	1000
0	1	0	-1	-1	196	2	1	15	7	175	0	0	0	0	0	20	30	23	22	0	5	0	672	1000
0	1	0	-1	-1	384	3	1	21	24	340	0	0	0	0	0	21	17	26	2	200	0	0	725	1000
0	1	0	-1	-1	195	2	1	2	193	1	0	0	0	0	0	56	38	57	38	0	0	0	237	1000
0	1	0	-1	-1	361	2	0	8	23	331	0	0	0	0	0	31	40	36	39	0	0	0	853	0
0	1	0	-1	-1	319	3	0	71	117	132	0	0	0	0	0	47	59	59	0	800	145	0	1832	0
0	1	0	-1	-1	26	1	1	5	19	3	0	0	0	0	0	27	42	30	41	0	0	0	130	1000
0	1	0	-1	-1	16	1	1	2	1	14	0	0	0	0	0	4	47	5	46	0	0	0	71	1000
0	1	0	-1	-1	22	2	1	7	12	4	0	0	0	0	0	8	45	10	44	0	0	0	167	1000
0	1	0	-1	-1	294	1	0	40	88	167	0	0	0	0	0	43	41	59	9	200	30	0	1142	0
0	1	0	-1	-1	85	4	2	35	43	8	0	0	0	0	0	41	20	47	8	1200	20	0	234	2000
0	1	0	-1	-1	20	1	1	9	5	7	0	0	0	0	0	23	59	28	0	0	0	0	68	1000
0	1	0	-1	-1	15	1	1	7	7	2	0	0	0	0	0	42	46	46	45	0	5	0	158	1000
0	1	0	-1	-1	34	3	1	17	14	4	0	0	0	0	0	36	53	40	42	200	5	0	379	1000
0	1	0	-1	-1	632	0	0	113	221	299	0	0	0	0	0	39	59	59	0	2400	205	0	2772	0
0	1	0	-1	-1	65	2	1	19	15	32	0	0	0	0	0	4	20	13	13	0	0	0	318	1000
0	1	0	-1	-1	726	2	0	108	228	391	0	0	0	0	0	25	59	59	0	2800	175	0	2658	0
0	1	0	-1	-1	107	1	1	23	11	74	0	0	0	0	0	22	51	40	47	400	0	0	642	1000
0	1	0	-1	-1	15	2	1	3	6	7	0	0	0	0	0	25	29	26	27	0	0	0	83	1000
0	1	0	-1	-1	19	2	1	6	8	6	0	0	0	0	0	24	35	27	33	0	5	0	146	1000
0	1	0	-1	-1	962	7	3	119	201	643	0	0	0	0	0	17	11	43	4	8400	20	0	1606	3000
0	1	0	-1	-1	26	1	1	9	9	9	0	0	0	0	0	32	43	38	41	0	0	0	216	1000
0	1	0	-1	-1	63	1	1	15	39	10	0	0	0	0	0	49	22	54	15	200	0	0	214	1000
0	1	0	-1	-1	141	2	0	45	76	21	0	0	0	0	0	31	55	44	45	0	55	0	1063	0
0	1	0	-1	-1	17	2	1	6	8	4	0	0	0	0	0	39	30	40	26	0	0	0	142	1000
0	1	0	-1	-1	348	2	1	4	51	294	0	0	0	0	0	43	51	44	49	0	5	0	723	1000
0	1	0	-1	-1	141	4	2	28	49	65	0	0	0	0	0	11	16	19	8	1000	15	0	207	2000
0	1	0	-1	-1	578	1	0	72	131	376	0	0	0	0	0	40	59	59	0	1400	50	0	1795	0
0	1	0	-1	-1	13	1	1	2	5	7	0	0	0	0	0	7	57	8	56	0	5	0	61	1000
0	1	0	-1	-1	150	1	0	56	56	39	0	0	0	0	0	38	34	50	24	200	105	0	1310	0
0	1	0	-1	-1	331	2	0	52	130	150	0	0	0	0	0	41	34	56	25	600	45	0	1522	0
0	1	0	-1	-1	32	3	2	4	25	4	0	0	0	0	0	17	26	18	24	600	0	0	117	2000
0	1	0	-1	-1	62	1	1	18	44	1	0	0	0	0	0	8	43	14	41	200	25	0	424	1000
0	1	0	-1	-1	191	3	0	51	57	84	0	0	0	0	0	1	26	26	22	200	85	0	1296	0
0	1	0	-1	-1	18	1	1	7	4	8	0	0	0	0	0	10	11	16	11	0	0	0	27	1000
0	1	0	-1	-1	195	3	1	10	121	65	0	0	0	0	0	18	7	19	4	200	5	0	261	1000
0	1	0	-1	-1	951	6	2	119	188	645	0	0	0	0	0	0	17	25	3	6400	610	0	1597	2000
0	1	0	-1	-1	82	1	1	16	11	56	0	0	0	0	0	48	20	53	11	0	0	0	319	1000
0	1	0	-1	-1	355	3	1	3	16	337	0	0	0	0	0	1	21	3	20	0	0	0	753	1000
0	1	0	-1	-1	34	3	1	5	5	25	0	0	0	0	0	27	17	29	15	0	0	0	60	1000
0	1	0	-1	-1	152	1	1	2	1	150	0	0	0	0	0	11	37	12	36	0	5	0	343	1000
0	1	0	-1	-1	81	1	1	7	6	69	0	0	0	0	0	1	56	4	53	0	0	0	291	1000
0	1	0	-1	-1	244	0	0	26	9	210	0	0	0	0	0	10	51	23	43	0	15	0	975	0
0	1	0	-1	-1	31	2	1	2	0	30	0	0	0	0	0	31	12	33	12	0	0	0	62	1000
0	1	0	-1	-1	390	3	1	23	15	353	0	0	0	0	0	22	13	31	4	600	5	0	744	1000
0	1	0	-1	-1	41	1	1	13	19	10	0	0	0	0	0	3	33	9	31	0	0	0	312	1000
0	1	0	-1	-1	13	1	1	4	7	3	0	0	0	0	0	22	32	24	30	0	0	0	97	1000
0	1	0	-1	-1	24	3	1	10	12	3	0	0	0	0	0	38	17	41	13	0	5	0	28	1000
0	1	0	-1	-1	81	1	1	4	9	69	0	0	0	0	0	12	49	14	47	0	0	0	231	1000
0	1	0	-1	-1	94	2	1	12	21	62	0	0	0	0	0	28	20	34	18	0	5	0	397	1000
0	1	0	-1	-1	239	1	0	29	35	176	0	0	0	0	0	47	58	53	43	0	30	0	996	0
0	1	0	-1	-1	38	3	1	14	11	14	0	0	0	0	0	0	35	9	5	0	0	0	153	1000
0	1	0	-1	-1	22	1	1	10	9	4	0	0	0	0	0	40	42	48	41	0	5	0	227	1000
0	1	0	-1	-1	20	2	1	2	4	15	0	0	0	0	0	7	46	8	45	0	0	0	76	1000
0	1	0	-1	-1	44	2	1	16	17	12	0	0	0	0	0	0	46	5	12	0	30	0	257	1000
0	1	0	-1	-1	63	2	1	32	7	25	0	0	0	0	0	22	11	53	11	0	0	0	89	1000
0	1	0	-1	-1	382	2	1	1	29	353	0	0	0	0	0	59	48	59	47	0	0	0	756	1000
0	1	0	-1	-1	16	1	1	5	9	3	0	0	0	0	0	55	57	57	56	0	0	0	120	1000
0	1	0	-1	-1	348	2	1	4	5	340	0	0	0	0	0	40	51	42	50	0	5	0	769	1000
0	1	0	-1	-1	857	6	2	86	147	625	0	0	0	0	0	7	15	40	8	4800	10	0	1483	2000
0	1	0	-1	-1	133	1	1	13	3	118	0	0	0	0	0	23	45	31	43	0	5	0	512	1000
0	1	0	-1	-1	28	1	1	9	7	13	0	0	0	0	0	42	6	43	1	0	0	0	42	1000
0	1	0	-1	-1	13	1	1	8	3	3	0	0	0	0	0	16	32	20	31	0	0	0	177	1000
0	1	0	-1	-1	96	4	1	22	61	14	0	0	0	0	0	48	53	52	46	0	20	0	551	1000
0	1	0	-1	-1	35	2	1	8	16	12	0	0	0	0	0	22	5	28	3	0	0	0	48	1000
0	1	0	-1	-1	260	2	1	1	10	250	0	0	0	0	0	15	5	16	5	0	0	0	511	1000
0	1	0	-1	-1	28	1	1	17	6	6	0	0	0	0	0	28	19	38	15	0	5	0	135	1000
0	1	0	-1	-1	376	4	1	2	9	366	0	0	0	0	0	3	1	4	0	0	0	0	743	1000
0	1	0	-1	-1	22	2	1	8	10	5	0	0	0	0	0	16	33	21	31	0	0	0	188	1000
0	1	0	-1	-1	35	2	1	13	16	7	0	0	0	0	0	1	40	6	33	200	5	0	303	1000
0	1	0	-1	-1	283	0	0	50	65	169	0	0	0	0	0	8	40	30	27	400	125	0	1453	0
0	1	0	-1	-1	401	2	0	2	24	376	0	0	0	0	0	8	1	10	1	0	0	0	778	0
0	1	0	-1	-1	681	3	1	61	157	464	0	0	0	0	0	33	17	57	7	2200	10	0	1146	1000
0	1	0	-1	-1	61	2	1	15	18	29	0	0	0	0	0	46	37	47	27	200	0	0	391	1000
0	1	0	-1	-1	445	4	0	40	99	307	0	0	0	0	0	4	41	10	28	800	60	0	1553	0
0	1	0	-1	-1	15	1	1	4	10	2	0	0	0	0	0	43	26	45	26	0	0	0	98	1000
0	1	0	-1	-1	63	2	1	30	23	11	0	0	0	0	0	6	57	23	48	0	5	0	675	1000
0	1	0	-1	-1	21	3	1	6	14	2	0	0	0	0	0	0	41	4	10	0	0	0	124	1000
